time,chassis_x,chassis_y,chassis_yaw,head_joint1,head_joint2,leg_joint1,leg_joint2,leg_joint3,leg_joint4,leg_joint5,left_arm_joint1,left_arm_joint2,left_arm_joint3,left_arm_joint4,left_arm_joint5,left_arm_joint6,left_arm_joint7,right_arm_joint1,right_arm_joint2,right_arm_joint3,right_arm_joint4,right_arm_joint5,right_arm_joint6,right_arm_joint7
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.250000,0.650000,0.400000,0.000000,0.000000,1.000000,-0.700000,-0.400000,-1.570000,0.000000,0.000000,0.000000,-1.000000,0.700000,0.400000,1.570000,0.000000,0.000000,0.000000
0.050000,0.000000,0.000000,0.000000,0.000000,0.000000,0.262908,0.662792,0.400446,0.013272,-0.021277,0.984110,-0.694976,-0.386556,-1.575912,0.015513,0.006749,0.007768,-1.004647,0.774735,0.343436,1.645878,-0.051980,-0.092808,0.065541
0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.278795,0.674820,0.400611,0.030909,-0.039799,0.967781,-0.692270,-0.371982,-1.585356,0.030698,0.011743,0.015497,-1.005095,0.850901,0.283821,1.711865,-0.106350,-0.185829,0.128332
0.150000,0.000000,0.000000,0.000000,0.000000,0.000000,0.297394,0.685989,0.400381,0.052737,-0.055873,0.950868,-0.691796,-0.356228,-1.597980,0.045545,0.015140,0.023442,-1.001144,0.929525,0.220901,1.766775,-0.163497,-0.278812,0.189084
0.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.318406,0.696206,0.399594,0.078507,-0.069740,0.933333,-0.693486,-0.339304,-1.613277,0.059966,0.016981,0.031815,-0.992404,1.011493,0.154860,1.808912,-0.223264,-0.371225,0.248292
0.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.341445,0.705340,0.398084,0.107837,-0.081495,0.915292,-0.697292,-0.321348,-1.630602,0.073741,0.017204,0.040728,-0.978394,1.097470,0.086625,1.836253,-0.284817,-0.462210,0.306275
0.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.366025,0.713156,0.395748,0.140236,-0.090989,0.897040,-0.703182,-0.302685,-1.649312,0.086469,0.015660,0.050126,-0.958696,1.187741,0.018123,1.846887,-0.346652,-0.550630,0.363209
0.350000,0.000000,0.000000,0.000000,0.000000,0.000000,0.391620,0.719239,0.392626,0.175260,-0.097808,0.878979,-0.711129,-0.283850,-1.669034,0.097543,0.012158,0.059785,-0.933128,1.282069,-0.047782,1.839625,-0.406927,-0.635234,0.419230
0.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.417804,0.722973,0.388927,0.212752,-0.101402,0.861449,-0.721076,-0.265506,-1.689926,0.106205,0.006500,0.069416,-0.901788,1.379692,-0.107812,1.814429,-0.464058,-0.714906,0.474598
0.450000,0.000000,0.000000,0.000000,0.000000,0.000000,0.449658,0.752919,0.400658,0.242751,-0.128212,0.849147,-0.720158,-0.246254,-1.703525,0.127688,-0.000481,0.077352,-0.881852,1.513972,-0.141237,1.727727,-0.519109,-0.733129,0.535052
